User Query,Intent,,,,,,,
I have persistent itching all over my arms and legs.,symptom_inquiry,,,,,,,
"Red, patchy rashes keep appearing on my chest and back.",symptom_inquiry,,,,,,,
"My joints ache badly, especially in the mornings.",symptom_inquiry,,,,,,,
I’ve had continuous sneezing fits for two days.,symptom_inquiry,,,,,,, 
"Burning pain when I urinate, and my urine is dark.",symptom_inquiry,,,,,,,
I feel shivering and chills even though it’s not cold.,symptom_inquiry,,,,,,,
"My stomach hurts after every meal, and I feel bloated.",symptom_inquiry,,,,,,,
I have small ulcers on my tongue that won’t heal.,symptom_inquiry,,,,,,,
I’ve lost a lot of muscle mass recently without trying.,symptom_inquiry,,,,,,,
I vomited three times today and feel extremely weak.,symptom_inquiry,,,,,,,
I notice blood spots when I urinate.,symptom_inquiry,,,,,,,
I’ve gained a lot of weight recently and feel tired all the time.,symptom_inquiry,,,,,,,
I feel anxious and restless for no apparent reason.,symptom_inquiry,,,,,,,
"My hands and feet are always cold, even in warm weather.",symptom_inquiry,,,,,,,
I’ve been experiencing mood swings and irritability.,symptom_inquiry,,,,,,,
I’ve lost weight without dieting or exercising.,symptom_inquiry,,,,,,,
I feel lethargic and unmotivated to do anything.,symptom_inquiry,,,,,,,
I have white patches in my throat that won’t go away.,symptom_inquiry,,,,,,,
"My blood sugar levels are irregular, and I feel dizzy.",symptom_inquiry,,,,,,,
I’ve had a persistent cough for over a week.,symptom_inquiry,,,,,,,
I have a high fever and body aches.,symptom_inquiry,,,,,,,
"My eyes look sunken, and I feel dehydrated.",symptom_inquiry,,,,,,,
I feel breathless even after minimal physical activity.,symptom_inquiry,,,,,,,
"I sweat excessively, even when I’m not active.",symptom_inquiry,,,,,,,
I feel nauseous and have lost my appetite.,symptom_inquiry,,,,,,,
I have a sharp pain behind my eyes.,symptom_inquiry,,,,,,,
"My lower back hurts, and it’s hard to stand for long.",symptom_inquiry,,,,,,,
I’ve been constipated for several days.,symptom_inquiry,,,,,,,
I have severe abdominal pain and diarrhea.,symptom_inquiry,,,,,,,
I have a mild fever and a runny nose.,symptom_inquiry,,,,,,,
"My urine is dark yellow, and I feel tired.",symptom_inquiry,,,,,,,
I feel nauseous and have a headache.,symptom_inquiry,,,,,,,
I have yellowish skin and eyes.,symptom_inquiry,,,,,,,
